id,name,types of restaurants,country,state,zip code,distinction,sustainability
1,Tacos Charly,Mexican, Mexico,Ciudad de México, 14050,Bib Gourmand,-
2,Castacán,Mexican, Mexico,Ciudad de México, 06700,-,-
3,Los Consentidos del Barrio,Mexican, Mexico,Ciudad de México, 03200,Bib Gourmand,-
4,Taquería El Califa de León,Mexican, Mexico,Ciudad de México, 06470,One Star,-
5,Taquería El Jarocho,Mexican, Mexico,Ciudad de México, 06700,Bib Gourmand,-
6,Cariñito Tacos,Mexican, Mexico,Ciudad de México, 06700,-,-
7,Tacos Hola El Güero,Mexican, Mexico,Ciudad de México, 06100,-,-
8,Guzina Oaxaca,"Mexican, RegionalCuisine", Mexico,Ciudad de México, 11560,-,-
9,Expendio de Maíz,Mexican, Mexico,Ciudad de México, 06700,Bib Gourmand,-
10,Mari Gold,"Fusion, Indian", Mexico,Ciudad de México, 11850,-,-
11,Masala y Maíz,Fusion, Mexico,Ciudad de México, 06040,Bib Gourmand,-
12,Martínez,Contemporary, Mexico,Ciudad de México, 06700,-,-
13,Limosneros,"Mexican, TraditionalCuisine", Mexico,Ciudad de México, 06010,-,-
14,Aúna,Contemporary, Mexico,Ciudad de México, 11550,-,-
15,Carmela y Sal,Mexican, Mexico,Ciudad de México, 11040,-,-
16,Taqueria Los Cocuyos,Mexican, Mexico,Ciudad de México, 06000,Bib Gourmand,-
17,Contramar,"Mexican, Seafood", Mexico,Ciudad de México, 06700,-,-
18,Nicos,"Mexican, TraditionalCuisine", Mexico,Ciudad de México, 02080,-,-
19,Galanga Thai House,Thai, Mexico,Ciudad de México, 06700,Bib Gourmand,-
20,Raíz,"Mexican, Contemporary", Mexico,Ciudad de México, 11560,Bib Gourmand,-
21,Taqueria El Paisa,Mexican, Mexico,Ciudad de México, 06470,-,-
22,Comedor Jacinta,"Mexican, TraditionalCuisine", Mexico,Ciudad de México, 11550,Bib Gourmand,-
23,Entremar,"Mexican, Seafood", Mexico,Ciudad de México, 11560,-,-
24,Botánico,Contemporary, Mexico,Ciudad de México, 06100,-,-
25,Los Danzantes Mexico City,"Mexican, Contemporary", Mexico,Ciudad de México, 04000,-,-
26,Molino El Pujol,Mexican, Mexico,Ciudad de México, 06100,Bib Gourmand,-
27,El Vilsito,Mexican, Mexico,Ciudad de México, 03020,Bib Gourmand,-
28,Pujol,"Mexican, ModernCuisine", Mexico,Ciudad de México, 11550,Two Stars:,-
29,Lorea,"Mexican, Contemporary", Mexico,Ciudad de México, 06700,-,-
30,Em,"Mexican, Contemporary", Mexico,Ciudad de México, 06700,One Star,-
31,Comal Oculto,Mexican, Mexico,Ciudad de México, 11850,Bib Gourmand,-
32,Sarde,Contemporary, Mexico,Ciudad de México, 06700,-,-
33,Siembra Tortillería,Mexican, Mexico,Ciudad de México, 11560,Bib Gourmand,-
34,El Tigre Silencioso,"Mexican, Creative", Mexico,Ciudad de México, 06700,-,-
35,Migrante,International, Mexico,Ciudad de México, 06700,-,-
36,Fugaz,"Mexican, MediterraneanCuisine", Mexico,Ciudad de México, 06700,Bib Gourmand,-
37,Barbacoa Gonzalitos,"Mexican, RegionalCuisine", Mexico,Ciudad de México, 06700,-,-
38,Pargot,"Mexican, Creative", Mexico,Ciudad de México, 06700,Bib Gourmand,-
39,Gaba,Mexican, Mexico,Ciudad de México, 06170,-,-
40,Cana,"Contemporary, International", Mexico,Ciudad de México, 06600,-,-
41,Sud 777,"Creative, Vegetarian", Mexico,Ciudad de México, 01900,One Star,-
42,Tacos Doña Mary La Gritona,Mexican, Mexico,Nuevo León, 64000,Bib Gourmand,-
43,"Tacos ""El Compadre""",Mexican, Mexico,Nuevo León, 64000,-,-
44,Punta Corcho,"Mexican, Seafood", Mexico,Quintana Roo, 77580,Bib Gourmand,-
45,Restaurante Punta Morro,Mexican, Mexico,Baja California, 22870,-,-
46,Ruba's Bakery,"Mexican, Bakery", Mexico,Baja California Sur, 23406,-,-
47,Levadura de Olla Restaurante,"Mexican, TraditionalCuisine", Mexico,Oaxaca, 68000,One Star,-
48,Almoraduz,Mexican, Mexico,Oaxaca, 71983,-,-
49,CARBÓNCABRÓN,Contemporary, Mexico,Baja California Sur, 23400,-,-
50,Ancestral Cocina Tradicional,Mexican, Mexico,Oaxaca, 68040,-,-
51,Alfonsina,Mexican, Mexico,Oaxaca, 71232,Bib Gourmand,-
52,Maizajo,Mexican, Mexico,Ciudad de México, 06140,-,-
53,Ricos Tacos Toluca,Mexican, Mexico,Ciudad de México, 06000,-,-
54,Filigrana,"Mexican, Contemporary", Mexico,Ciudad de México, 06700,Bib Gourmand,-
55,Campobaja,"Seafood, RegionalCuisine", Mexico,Ciudad de México, 06700,-,-
56,MeroToro,"Mexican, Contemporary", Mexico,Ciudad de México, 06100,-,-
